        VBPR-baby: 3.0510 s/epoch               | trainable parameters: 3,226,944
        LATTICE-baby: 3.5853 s/epoch            | trainable parameters: 33,566,530
        FREEDOM-baby: 3.6843 s/epoch            | trainable parameters: 33,566,528
        LGMRec-baby: 4.4808 s/epoch             | trainable parameters: 33,584,320
        SMORE-baby: 5.0548 s/epoch              | trainable parameters: 33,608,198
        BM3-baby: 3.1359 s/epoch                | trainable parameters: 33,570,688
        DAMRS-baby: 4.6661 s/epoch              | trainable parameters: 33,566,528
        ALIGNREC-baby: 4.0050 s/epoch           | trainable parameters: 7,171,840
        ANCHORREC-baby: 10.4439 s/epoch         | trainable parameters: 39,371,136
        VBPR-sports: 5.7680 s/epoch             | trainable parameters: 6,018,176
        LATTICE-sports: 13.5459 s/epoch         | trainable parameters: 85,979,330
        FREEDOM-sports: 7.4861 s/epoch          | trainable parameters: 85,979,328
        LGMRec-sports: 11.6584 s/epoch          | trainable parameters: 85,997,120
        SMORE-sports: 11.7689 s/epoch           | trainable parameters: 86,020,998
        BM3-sports: 6.6574 s/epoch              | trainable parameters: 85,983,488
        DAMRS-sports: 11.6366 s/epoch           | trainable parameters: 85,979,328
        ALIGNREC-sports: 6.7336 s/epoch         | trainable parameters: 17,613,056
        ANCHORREC-sports: 24.9738 s/epoch               | trainable parameters: 100,467,712
        VBPR-elec: 33.5079 s/epoch              | trainable parameters: 28,946,432
        LATTICE-elec: 51.1292 s/epoch           | trainable parameters: 298,877,186
        FREEDOM-elec: 56.2822 s/epoch           | trainable parameters: 298,877,184
        LGMRec-elec: 82.6254 s/epoch            | trainable parameters: 298,894,976
No s/epoch info found in matched logs.
        BM3-elec: 52.7212 s/epoch               | trainable parameters: 298,881,344
        DAMRS-elec: 135.5264 s/epoch            | trainable parameters: 298,877,184
        ALIGNREC-elec: 47.5611 s/epoch          | trainable parameters: 64,792,384
        ANCHORREC-elec: 135.7735 s/epoch                | trainable parameters: 347,652,160
        VBPR-clothing: 7.0049 s/epoch           | trainable parameters: 6,802,432
        LATTICE-clothing: 14.1287 s/epoch               | trainable parameters: 107,469,570
        FREEDOM-clothing: 14.1225 s/epoch               | trainable parameters: 107,469,568
        LGMRec-clothing: 45.8757 s/epoch                | trainable parameters: 107,487,360
        SMORE-clothing: 23.3242 s/epoch         | trainable parameters: 107,511,238
        BM3-clothing: 15.8987 s/epoch           | trainable parameters: 107,473,728
        DAMRS-clothing: 44.9976 s/epoch         | trainable parameters: 107,469,568
        ALIGNREC-clothing: 9.3373 s/epoch               | trainable parameters: 21,745,984
        ANCHORREC-clothing: 19.9956 s/epoch             | trainable parameters: 125,549,120
        VBPR-office: 1.0128 s/epoch             | trainable parameters: 1,069,504
        LATTICE-office: 2.3397 s/epoch          | trainable parameters: 11,597,250
        FREEDOM-office: 1.8231 s/epoch          | trainable parameters: 11,597,248
        LGMRec-office: 4.7039 s/epoch           | trainable parameters: 11,615,040
        SMORE-office: 1.5739 s/epoch            | trainable parameters: 11,638,918
        BM3-office: 1.4136 s/epoch              | trainable parameters: 11,601,408
        DAMRS-office: 2.7852 s/epoch            | trainable parameters: 11,597,248
        ALIGNREC-office: 1.5782 s/epoch         | trainable parameters: 2,389,120
        ANCHORREC-office: 3.0134 s/epoch                | trainable parameters: 13,846,016
        VBPR-game: 4.6425 s/epoch               | trainable parameters: 4,080,576
        LATTICE-game: 23.8224 s/epoch           | trainable parameters: 50,335,810
        FREEDOM-game: 14.8060 s/epoch           | trainable parameters: 50,335,808
        LGMRec-game: 176.5440 s/epoch           | trainable parameters: 50,353,600
        SMORE-game: 41.2408 s/epoch             | trainable parameters: 50,377,478
        BM3-game: 11.6810 s/epoch               | trainable parameters: 50,339,968
        DAMRS-game: 31.6691 s/epoch             | trainable parameters: 50,335,808
        ALIGNREC-game: 6.8483 s/epoch           | trainable parameters: 10,496,256
        ANCHORREC-game: 12.2705 s/epoch         | trainable parameters: 58,922,112
        VBPR-grocery: 3.0735 s/epoch            | trainable parameters: 2,723,584
        LATTICE-grocery: 6.5062 s/epoch         | trainable parameters: 40,818,306
        FREEDOM-grocery: 5.5628 s/epoch         | trainable parameters: 40,818,304
        LGMRec-grocery: 5.4152 s/epoch          | trainable parameters: 40,836,096
        SMORE-grocery: 4.4306 s/epoch           | trainable parameters: 40,859,974
        BM3-grocery: 4.7172 s/epoch             | trainable parameters: 40,822,464
        DAMRS-grocery: 9.4190 s/epoch           | trainable parameters: 40,818,304
        ALIGNREC-grocery: 4.1687 s/epoch                | trainable parameters: 8,250,560
        ANCHORREC-grocery: 8.2709 s/epoch               | trainable parameters: 47,900,096
