name,n_samples,k,inertia,estimated_elbow_k
ID,7050,50,10758.1787109375,400
ID,7050,100,9987.4306640625,400
ID,7050,200,9128.326171875,400
ID,7050,400,8030.25537109375,400
ID,7050,800,6654.8427734375,400
ID,7050,1200,5687.1884765625,400
MM,7050,50,4621.1904296875,400
MM,7050,100,4238.7958984375,400
MM,7050,200,3837.965576171875,400
MM,7050,400,3387.36328125,400
MM,7050,800,2836.662109375,400
MM,7050,1200,2437.61767578125,400
Final,7050,50,27910.14453125,400
Final,7050,100,23515.1484375,400
Final,7050,200,18602.27734375,400
Final,7050,400,13928.984375,400
Final,7050,800,9861.4013671875,400
Final,7050,1200,7721.57958984375,400
