name,n_samples,k,inertia,estimated_elbow_k
ID,7050,50,14594.4150390625,400
ID,7050,100,13839.162109375,400
ID,7050,200,12908.400390625,400
ID,7050,400,11728.3359375,400
ID,7050,800,10061.58984375,400
ID,7050,1200,8727.4814453125,400
MM,7050,50,6422.580078125,400
MM,7050,100,5977.6103515625,400
MM,7050,200,5517.89013671875,400
MM,7050,400,4966.47314453125,400
MM,7050,800,4244.12939453125,400
MM,7050,1200,3697.56298828125,400
Final,7050,50,394985856.0,200
Final,7050,100,243342608.0,200
Final,7050,200,137993024.0,200
Final,7050,400,74464576.0,200
Final,7050,800,37159852.0,200
Final,7050,1200,22978664.0,200
