itemID | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 0.324646 | 0.179174 | 0.579838 | 0.261333 | 0.342884 | 0.248121
1 | 0.265950 | 0.328391 | 0.206243 | 0.284575 | 0.165585 | 0.180029
2 | 0.169455 | 0.138522 | 0.353944 | 0.211550 | 0.201330 | 0.464675
3 | 0.441934 | 0.437468 | 0.579252 | 0.218347 | 0.346896 | 0.302516
4 | 0.596430 | 0.607177 | 0.590796 | 0.245585 | 0.875801 | 0.309794
5 | 0.586677 | 0.621159 | 0.676101 | 0.492011 | 0.521670 | 0.607273
6 | 0.100008 | 0.172120 | 0.230652 | 0.353068 | 0.317988 | 0.385973
7 | 0.301672 | 0.281954 | 0.805255 | 0.186557 | 0.200314 | 0.565178
8 | 0.522024 | 0.352295 | 0.170074 | 0.357827 | 0.308022 | 0.202003
9 | 0.462604 | 0.288098 | 0.371824 | 0.582207 | 0.330106 | 0.346398
10 | 0.279998 | 0.392892 | 0.223436 | 0.280568 | 0.195907 | 0.255207
11 | 0.694250 | 0.227804 | 0.721551 | 0.438143 | 0.300994 | 0.486584
12 | 0.424592 | 0.453593 | 0.168138 | 0.324203 | 0.347390 | 0.227741
13 | 0.615703 | 0.244054 | 0.297877 | 0.699661 | 0.641659 | 0.335495
14 | 0.285696 | 0.247069 | 0.537164 | 0.547357 | 0.345808 | 0.462534
15 | 0.670800 | 0.745192 | 0.712990 | 0.187350 | 0.162765 | 0.201714
16 | 0.669854 | 0.627492 | 0.617842 | 0.393379 | 0.268780 | 0.405856
17 | 0.217033 | 0.266892 | 0.271793 | 0.151641 | 0.363410 | 0.305693
18 | 0.700866 | 0.350108 | 0.256096 | 0.262849 | 0.397998 | 0.422539
19 | 0.483605 | 0.731820 | 0.264417 | 0.356993 | 0.414591 | 0.312809
20 | 0.632000 | 0.599648 | 0.654916 | 0.723387 | 0.236711 | 0.196120
21 | 0.309753 | 0.235922 | 0.209416 | 0.419845 | 0.470648 | 0.496359
22 | 0.480493 | 0.373964 | 0.358940 | 0.458520 | 0.385204 | 0.378101
23 | 0.242212 | 0.410634 | 0.665872 | 0.141522 | 0.151543 | 0.581251
24 | 0.334199 | 0.195636 | 0.427611 | 0.425431 | 0.239699 | 0.133278
25 | 0.657151 | 0.698785 | 0.283626 | 0.524872 | 0.657488 | 0.411031
26 | 0.646822 | 0.667796 | 0.610971 | 0.540884 | 0.273363 | 0.332220
27 | 0.143988 | 0.154887 | 0.081820 | 0.320381 | 0.419825 | 0.212051
28 | 0.104653 | 0.071015 | 0.101745 | 0.168410 | 0.269040 | 0.152590
29 | 0.579770 | 0.404937 | 0.228740 | 0.488331 | 0.558760 | 0.376448
30 | 0.276449 | 0.232172 | 0.410141 | 0.434674 | 0.395703 | 0.276458
31 | 0.601716 | 0.260955 | 0.586227 | 0.838795 | 0.150873 | 0.475372
32 | 0.749333 | 0.703462 | 0.697994 | 0.247216 | 0.208854 | 0.235910
33 | 0.611157 | 0.432117 | 0.536496 | 0.384421 | 0.180875 | 0.423057
34 | 0.340568 | 0.378595 | 0.621262 | 0.346834 | 0.429708 | 0.511721
