itemID | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 0.341186 | 0.390640 | 0.360385 | 0.403868 | 0.520882 | 0.847137
1 | 0.269690 | 0.244297 | 0.360385 | 0.543942 | 0.415494 | 0.847137
2 | 0.297602 | 0.271774 | 0.337815 | 0.559022 | 0.476819 | 0.522705
3 | 0.282912 | 0.279717 | 0.205440 | 0.278721 | 0.380920 | 0.311116
4 | 0.434635 | 0.607177 | 0.401382 | 0.635414 | 0.875801 | 0.612082
5 | 0.094810 | 0.268639 | 0.161659 | 0.620464 | 0.563934 | 0.633088
6 | 0.206125 | 0.263093 | 0.257608 | 0.747099 | 0.327701 | 0.436985
7 | 0.312400 | 0.328785 | 0.227356 | 0.535639 | 0.859896 | 0.537311
8 | 0.506885 | 0.123330 | 0.174793 | 0.634674 | 0.355328 | 0.403343
9 | 0.288098 | 0.314696 | 0.462604 | 0.330106 | 0.243607 | 0.582207
10 | 0.567356 | 0.331779 | 0.335779 | 0.575855 | 0.344844 | 0.322280
11 | 0.591346 | 0.226567 | 0.501646 | 0.710609 | 0.682930 | 0.705889
12 | 0.409174 | 0.294468 | 0.286037 | 0.361346 | 0.604705 | 0.257800
13 | 0.615703 | 0.397948 | 0.560839 | 0.699661 | 0.664397 | 0.644829
14 | 0.386023 | 0.397948 | 0.237264 | 0.841371 | 0.664397 | 0.639798
15 | 0.405206 | 0.181847 | 0.144471 | 0.764564 | 0.355805 | 0.354770
16 | 0.339290 | 0.545695 | 0.378084 | 0.617966 | 0.647291 | 0.604345
17 | 0.385604 | 0.382014 | 0.186983 | 0.810319 | 0.599433 | 0.124292
18 | 0.311785 | 0.274391 | 0.121912 | 0.696656 | 0.578364 | 0.563349
19 | 0.373609 | 0.497338 | 0.521005 | 0.702434 | 0.682466 | 0.784247
20 | 0.467224 | 0.372539 | 0.268082 | 0.753481 | 0.635490 | 0.661434
21 | 0.416576 | 0.455911 | 0.320931 | 0.757603 | 0.659436 | 0.623702
22 | 0.416576 | 0.520282 | 0.495710 | 0.757603 | 0.670366 | 0.389866
23 | 0.627125 | 0.389884 | 0.299333 | 0.700720 | 0.701485 | 0.526528
24 | 0.147182 | 0.224378 | 0.222146 | 0.693089 | 0.808506 | 0.165946
25 | 0.448718 | 0.200253 | 0.698785 | 0.709418 | 0.474721 | 0.657488
26 | 0.395720 | 0.286347 | 0.287142 | 0.347360 | 0.328695 | 0.466025
27 | 0.347711 | 0.172110 | 0.076759 | 0.680983 | 0.210681 | 0.109830
28 | 0.220252 | 0.045320 | 0.074571 | 0.278605 | 0.130324 | 0.215172
29 | 0.579770 | 0.453027 | 0.524108 | 0.488331 | 0.462677 | 0.544198
30 | 0.434602 | 0.492424 | 0.379318 | 0.591054 | 0.745175 | 0.695321
31 | 0.279755 | 0.601716 | 0.439915 | 0.793149 | 0.838795 | 0.645731
32 | 0.354712 | 0.330921 | 0.193998 | 0.753658 | 0.794734 | 0.827147
33 | 0.611157 | 0.315001 | 0.535376 | 0.384421 | 0.274699 | 0.415354
34 | 0.216616 | 0.276169 | 0.255059 | 0.735606 | 0.728268 | 0.560108
35 | 0.424224 | 0.266510 | 0.790719 | 0.780870 | 0.660556 | 0.475319
36 | 0.483123 | 0.370624 | 0.280666 | 0.618146 | 0.680449 | 0.516337
37 | 0.250300 | 0.599610 | 0.211024 | 0.413878 | 0.438979 | 0.410744
38 | 0.567104 | 0.355556 | 0.378281 | 0.958595 | 0.622554 | 0.332239
39 | 0.750720 | 0.559800 | 0.806639 | 0.726794 | 0.661580 | 0.764724
40 | 0.343868 | 0.590839 | 0.617439 | 0.769168 | 0.756123 | 0.621151
41 | 0.579928 | 0.549286 | 0.407700 | 0.825786 | 0.547692 | 0.698445
42 | 0.416161 | 0.453090 | 0.606292 | 0.677803 | 0.337261 | 0.831759
43 | 0.440967 | 0.466794 | 0.442874 | 0.843171 | 0.779677 | 0.677537
44 | 0.305450 | 0.177773 | 0.347537 | 0.205102 | 0.257543 | 0.332009
45 | 0.333539 | 0.483027 | 0.349384 | 0.361881 | 0.548835 | 0.463562
46 | 0.808067 | 0.750593 | 0.430157 | 0.863855 | 0.859024 | 0.616713
47 | 0.179219 | 0.233575 | 0.190379 | 0.160407 | 0.393527 | 0.120558
48 | 0.439338 | 0.377245 | 0.241562 | 0.490140 | 0.519582 | 0.646704
49 | 0.332190 | 0.149277 | 0.486967 | 0.757419 | 0.662600 | 0.649126
50 | 0.604034 | 0.331732 | 0.271016 | 0.752500 | 0.131508 | 0.460591
51 | 0.389388 | 0.298801 | 0.334538 | 0.701832 | 0.810854 | 0.231704
52 | 0.297588 | 0.265304 | 0.253278 | 0.641358 | 0.704167 | 0.691785
53 | 0.443303 | 0.298801 | 0.393214 | 0.733380 | 0.810854 | 0.394996
54 | 0.536923 | 0.485073 | 0.410631 | 0.849654 | 0.791017 | 0.623098
55 | 0.102420 | 0.237200 | 0.227059 | 0.589272 | 0.277078 | 0.573082
56 | 0.871168 | 0.579431 | 0.697114 | 0.638722 | 0.534843 | 0.372232
57 | 0.391364 | 0.698832 | 0.477929 | 0.913361 | 0.827600 | 0.856268
58 | 0.575502 | 0.574166 | 0.723702 | 0.758393 | 0.564715 | 0.673984
59 | 0.190710 | 0.174246 | 0.342787 | 0.368854 | 0.224630 | 0.334468
60 | 0.245517 | 0.249629 | 0.167818 | 0.647209 | 0.622687 | 0.493434
