itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 1307 | 5166 | 4244 | 305 | 55 | 98 | 0.179174 | 0.108499 | 0.250237 | 0.342884 | 0.211361 | 0.176658
1 | 5385 | 1439 | 6475 | 677 | 423 | 474 | 0.295440 | 0.117069 | 0.217882 | 0.241589 | 0.243716 | 0.299125
2 | 218 | 460 | 500 | 169 | 42 | 188 | 0.310904 | 0.226017 | 0.310550 | 0.465102 | 0.344879 | 0.227723
3 | 6703 | 5417 | 2423 | 95 | 181 | 52 | 0.338184 | 0.246512 | 0.352384 | 0.148110 | 0.140869 | 0.185277
4 | 2586 | 691 | 2037 | 373 | 603 | 279 | 0.189911 | 0.251784 | 0.312859 | 0.107048 | 0.438215 | 0.248780
5 | 3876 | 1498 | 3700 | 991 | 466 | 142 | 0.349837 | 0.171708 | 0.307065 | 0.519483 | 0.267067 | 0.267209
6 | 214 | 181 | 295 | 46 | 67 | 66 | 0.173591 | 0.100008 | 0.144769 | 0.312146 | 0.353068 | 0.432384
7 | 4338 | 387 | 1959 | 96 | 80 | 508 | 0.259192 | 0.164274 | 0.320262 | 0.215231 | 0.237266 | 0.157333
8 | 293 | 56 | 336 | 74 | 199 | 309 | 0.186216 | 0.166042 | 0.275295 | 0.370358 | 0.337273 | 0.394569
9 | 428 | 238 | 341 | 272 | 189 | 244 | 0.215054 | 0.384411 | 0.462604 | 0.284745 | 0.303448 | 0.582207
10 | 225 | 79 | 245 | 442 | 1218 | 1075 | 0.335779 | 0.498153 | 0.339988 | 0.322280 | 0.139510 | 0.275233
11 | 2228 | 985 | 2841 | 70 | 129 | 108 | 0.155617 | 0.190063 | 0.234822 | 0.257355 | 0.363136 | 0.305595
12 | 58 | 9 | 366 | 77 | 469 | 123 | 0.453593 | 0.556617 | 0.196780 | 0.347390 | 0.604754 | 0.284345
13 | 3585 | 883 | 851 | 995 | 321 | 208 | 0.217966 | 0.560839 | 0.236050 | 0.452234 | 0.644829 | 0.293363
14 | 4211 | 3844 | 2905 | 877 | 444 | 275 | 0.281988 | 0.326957 | 0.320124 | 0.266939 | 0.634973 | 0.302088
15 | 514 | 2298 | 4112 | 88 | 524 | 490 | 0.405206 | 0.243918 | 0.088266 | 0.764564 | 0.396440 | 0.248713
16 | 5262 | 444 | 69 | 478 | 629 | 485 | 0.237639 | 0.203937 | 0.217153 | 0.446209 | 0.562091 | 0.432044
17 | 346 | 180 | 230 | 62 | 37 | 64 | 0.236490 | 0.413538 | 0.403560 | 0.433483 | 0.243384 | 0.169455
18 | 1327 | 1449 | 1150 | 810 | 351 | 288 | 0.214682 | 0.189418 | 0.188112 | 0.223208 | 0.462767 | 0.416538
19 | 2875 | 1920 | 2543 | 100 | 517 | 104 | 0.190759 | 0.199689 | 0.217419 | 0.289550 | 0.181792 | 0.147807
20 | 1155 | 926 | 4246 | 100 | 923 | 84 | 0.354092 | 0.298214 | 0.219896 | 0.362014 | 0.178474 | 0.151200
21 | 102 | 341 | 252 | 151 | 244 | 75 | 0.309753 | 0.143852 | 0.324765 | 0.419845 | 0.453136 | 0.366821
22 | 336 | 65 | 223 | 309 | 154 | 166 | 0.309378 | 0.330746 | 0.495710 | 0.355249 | 0.154366 | 0.389866
23 | 163 | 201 | 324 | 321 | 227 | 176 | 0.378793 | 0.320957 | 0.452522 | 0.234401 | 0.251542 | 0.178417
24 | 1328 | 184 | 2617 | 410 | 944 | 352 | 0.278570 | 0.295500 | 0.232069 | 0.243912 | 0.138374 | 0.274884
25 | 796 | 1117 | 411 | 1559 | 221 | 132 | 0.428050 | 0.121193 | 0.657151 | 0.235928 | 0.228415 | 0.524872
26 | 3981 | 1659 | 2919 | 209 | 86 | 941 | 0.294648 | 0.266818 | 0.466526 | 0.129594 | 0.242729 | 0.399357
27 | 408 | 217 | 42 | 153 | 94 | 433 | 0.111133 | 0.215484 | 0.061533 | 0.292042 | 0.266047 | 0.212229
28 | 5558 | 1657 | 1980 | 541 | 66 | 1079 | 0.109263 | 0.173020 | 0.148245 | 0.157896 | 0.348816 | 0.372682
29 | 428 | 280 | 9 | 272 | 57 | 469 | 0.416110 | 0.274502 | 0.159344 | 0.403789 | 0.356374 | 0.265991
30 | 5799 | 2677 | 2943 | 479 | 967 | 359 | 0.101125 | 0.174401 | 0.078005 | 0.404059 | 0.244841 | 0.120404
31 | 89 | 572 | 491 | 697 | 584 | 711 | 0.157766 | 0.236052 | 0.134806 | 0.212463 | 0.414634 | 0.333628
32 | 501 | 3592 | 929 | 121 | 136 | 88 | 0.226908 | 0.152728 | 0.414287 | 0.264059 | 0.155727 | 0.322373
33 | 126 | 419 | 77 | 1164 | 1454 | 949 | 0.611157 | 0.219157 | 0.315001 | 0.384421 | 0.206707 | 0.274699
34 | 56 | 163 | 80 | 199 | 321 | 113 | 0.146396 | 0.273325 | 0.203840 | 0.204215 | 0.303141 | 0.295693
35 | 495 | 439 | 422 | 527 | 91 | 185 | 0.131240 | 0.424224 | 0.101728 | 0.326236 | 0.780870 | 0.333506
36 | 238 | 247 | 96 | 189 | 105 | 109 | 0.192237 | 0.128850 | 0.253719 | 0.382075 | 0.295197 | 0.299674
37 | 229 | 476 | 61 | 39 | 57 | 94 | 0.272432 | 0.239386 | 0.135202 | 0.215364 | 0.324530 | 0.384935
38 | 64 | 207 | 85 | 87 | 112 | 87 | 0.149543 | 0.197248 | 0.147161 | 0.138249 | 0.228258 | 0.300975
39 | 324 | 198 | 221 | 176 | 59 | 283 | 0.478445 | 0.102413 | 0.301970 | 0.295303 | 0.331649 | 0.351499
40 | 56 | 80 | 103 | 199 | 113 | 44 | 0.142684 | 0.340486 | 0.183907 | 0.370050 | 0.396730 | 0.419710
41 | 245 | 166 | 187 | 1075 | 750 | 1372 | 0.438133 | 0.342424 | 0.342167 | 0.389646 | 0.308080 | 0.308009
42 | 76 | 311 | 341 | 428 | 173 | 244 | 0.416161 | 0.117290 | 0.539893 | 0.677803 | 0.234208 | 0.423381
43 | 341 | 9 | 428 | 244 | 469 | 272 | 0.271249 | 0.314306 | 0.345178 | 0.483106 | 0.371165 | 0.340743
44 | 5342 | 6931 | 481 | 111 | 83 | 1293 | 0.454377 | 0.333859 | 0.328819 | 0.154244 | 0.305752 | 0.105106
45 | 5637 | 5262 | 811 | 1116 | 478 | 860 | 0.300416 | 0.333539 | 0.359582 | 0.395311 | 0.361881 | 0.245314
46 | 203 | 341 | 299 | 203 | 244 | 137 | 0.269218 | 0.218580 | 0.241520 | 0.501499 | 0.370285 | 0.346321
47 | 718 | 2737 | 2430 | 33 | 148 | 118 | 0.199374 | 0.229219 | 0.120906 | 0.157832 | 0.119132 | 0.123922
48 | 61 | 229 | 160 | 94 | 39 | 113 | 0.377245 | 0.233040 | 0.306146 | 0.519582 | 0.266853 | 0.141215
