itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 1879 | 6244 | 6817 | 195 | 117 | 93 | 0.210801 | 0.193110 | 0.136824 | 0.383993 | 0.226973 | 0.137016
1 | 737 | 6759 | 5043 | 275 | 295 | 327 | 0.244297 | 0.184266 | 0.205825 | 0.415494 | 0.341660 | 0.270239
2 | 476 | 181 | 170 | 57 | 67 | 87 | 0.144742 | 0.348311 | 0.297602 | 0.303517 | 0.416238 | 0.559022
3 | 5097 | 1890 | 198 | 68 | 54 | 59 | 0.437468 | 0.351733 | 0.490429 | 0.346896 | 0.149764 | 0.220838
4 | 1323 | 1585 | 4751 | 53 | 285 | 267 | 0.607177 | 0.434635 | 0.289494 | 0.875801 | 0.635414 | 0.405935
5 | 946 | 467 | 2710 | 265 | 70 | 93 | 0.621159 | 0.500921 | 0.253987 | 0.521670 | 0.487401 | 0.566231
6 | 61 | 210 | 235 | 94 | 64 | 39 | 0.385081 | 0.269710 | 0.250252 | 0.534670 | 0.362926 | 0.457145
7 | 482 | 2178 | 1312 | 418 | 171 | 286 | 0.277706 | 0.328785 | 0.341697 | 0.628293 | 0.859896 | 0.497765
8 | 96 | 154 | 280 | 109 | 112 | 57 | 0.506885 | 0.069538 | 0.102280 | 0.634674 | 0.403140 | 0.338686
9 | 341 | 251 | 459 | 244 | 139 | 411 | 0.462604 | 0.312231 | 0.314696 | 0.582207 | 0.309195 | 0.243607
10 | 187 | 147 | 225 | 1372 | 817 | 442 | 0.331779 | 0.311285 | 0.335779 | 0.344844 | 0.302323 | 0.322280
11 | 498 | 684 | 601 | 63 | 266 | 505 | 0.226567 | 0.581976 | 0.263784 | 0.682930 | 0.509001 | 0.374590
12 | 9 | 341 | 80 | 469 | 244 | 113 | 0.556617 | 0.462596 | 0.464170 | 0.604754 | 0.618071 | 0.441928
13 | 883 | 1316 | 885 | 321 | 169 | 158 | 0.560839 | 0.403213 | 0.615703 | 0.644829 | 0.721484 | 0.699661
14 | 3844 | 2298 | 69 | 444 | 524 | 485 | 0.326957 | 0.285696 | 0.386023 | 0.634973 | 0.547357 | 0.841371
15 | 6293 | 541 | 4297 | 133 | 107 | 883 | 0.156572 | 0.084884 | 0.166651 | 0.289712 | 0.273319 | 0.290077
16 | 193 | 2253 | 540 | 64 | 85 | 60 | 0.411574 | 0.369870 | 0.441940 | 0.507845 | 0.433391 | 0.569945
17 | 930 | 295 | 274 | 55 | 66 | 119 | 0.277325 | 0.283974 | 0.368967 | 0.521658 | 0.273211 | 0.449397
18 | 137 | 5510 | 1209 | 87 | 143 | 60 | 0.423946 | 0.400770 | 0.191917 | 0.533192 | 0.535531 | 0.355731
19 | 3558 | 4912 | 1632 | 202 | 79 | 746 | 0.483605 | 0.497338 | 0.536219 | 0.356993 | 0.682466 | 0.768245
20 | 1048 | 2331 | 4302 | 112 | 133 | 48 | 0.632000 | 0.268082 | 0.372539 | 0.723387 | 0.661434 | 0.635490
