itemID | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 0.390640 | 0.360385 | 0.299258 | 0.520882 | 0.847137 | 0.526192
1 | 0.269690 | 0.184266 | 0.360385 | 0.543942 | 0.341660 | 0.847137
2 | 0.377206 | 0.353944 | 0.391391 | 0.466846 | 0.464675 | 0.479919
3 | 0.301084 | 0.346778 | 0.215313 | 0.097154 | 0.353477 | 0.396668
4 | 0.171224 | 0.607177 | 0.434635 | 0.615673 | 0.875801 | 0.635414
5 | 0.273876 | 0.314969 | 0.094810 | 0.625079 | 0.653304 | 0.620464
6 | 0.206125 | 0.267364 | 0.385081 | 0.747099 | 0.635542 | 0.534670
7 | 0.328785 | 0.365245 | 0.277706 | 0.859896 | 0.886097 | 0.628293
8 | 0.506885 | 0.505997 | 0.186216 | 0.634674 | 0.405577 | 0.370358
9 | 0.288098 | 0.314696 | 0.215054 | 0.330106 | 0.243607 | 0.284745
10 | 0.205600 | 0.498153 | 0.331779 | 0.884296 | 0.139510 | 0.344844
11 | 0.236622 | 0.165784 | 0.226567 | 0.776100 | 0.651024 | 0.682930
12 | 0.631213 | 0.584796 | 0.456412 | 0.632610 | 0.729262 | 0.639510
13 | 0.560839 | 0.615703 | 0.498242 | 0.644829 | 0.699661 | 0.683282
14 | 0.326957 | 0.237264 | 0.386023 | 0.634973 | 0.639798 | 0.841371
15 | 0.405206 | 0.359203 | 0.142419 | 0.764564 | 0.326610 | 0.268901
16 | 0.300837 | 0.183586 | 0.545695 | 0.770489 | 0.788961 | 0.647291
17 | 0.385604 | 0.482218 | 0.460261 | 0.810319 | 0.710631 | 0.699830
18 | 0.274693 | 0.311785 | 0.109858 | 0.695678 | 0.696656 | 0.731871
19 | 0.521005 | 0.536219 | 0.373609 | 0.784247 | 0.768245 | 0.702434
20 | 0.467224 | 0.263326 | 0.378970 | 0.753481 | 0.597858 | 0.686429
21 | 0.416576 | 0.209416 | 0.229759 | 0.757603 | 0.496359 | 0.658831
22 | 0.416576 | 0.520282 | 0.423396 | 0.757603 | 0.670366 | 0.764092
23 | 0.627125 | 0.443279 | 0.361428 | 0.700720 | 0.774689 | 0.784362
24 | 0.210776 | 0.224378 | 0.293158 | 0.765610 | 0.808506 | 0.783852
25 | 0.214758 | 0.448718 | 0.248433 | 0.785126 | 0.709418 | 0.690285
26 | 0.338609 | 0.197440 | 0.496554 | 0.570807 | 0.620021 | 0.594848
27 | 0.347711 | 0.287119 | 0.346814 | 0.680983 | 0.747070 | 0.857384
28 | 0.118323 | 0.099210 | 0.101745 | 0.555243 | 0.445555 | 0.152590
29 | 0.440211 | 0.366050 | 0.194684 | 0.468680 | 0.569430 | 0.403195
30 | 0.379318 | 0.492424 | 0.358058 | 0.695321 | 0.745175 | 0.775072
31 | 0.601716 | 0.279755 | 0.506084 | 0.838795 | 0.793149 | 0.804542
32 | 0.542035 | 0.515270 | 0.330921 | 0.816689 | 0.890634 | 0.794734
33 | 0.607098 | 0.585721 | 0.313807 | 0.681512 | 0.831068 | 0.589436
34 | 0.216616 | 0.276169 | 0.220865 | 0.735606 | 0.728268 | 0.795366
35 | 0.424224 | 0.763988 | 0.149623 | 0.780870 | 0.768086 | 0.664051
36 | 0.604034 | 0.538006 | 0.483123 | 0.752500 | 0.674920 | 0.618146
37 | 0.682331 | 0.250300 | 0.436387 | 0.676639 | 0.413878 | 0.476194
38 | 0.567104 | 0.414366 | 0.733228 | 0.958595 | 0.635020 | 0.624500
39 | 0.332443 | 0.669493 | 0.750720 | 0.794610 | 0.756395 | 0.726794
40 | 0.343868 | 0.590839 | 0.254010 | 0.769168 | 0.756123 | 0.760021
41 | 0.579928 | 0.545904 | 0.440478 | 0.825786 | 0.788186 | 0.728719
42 | 0.606292 | 0.611075 | 0.629146 | 0.831759 | 0.703327 | 0.868572
43 | 0.440967 | 0.392018 | 0.542026 | 0.843171 | 0.642941 | 0.667994
44 | 0.570218 | 0.575687 | 0.310492 | 0.694869 | 0.670337 | 0.659999
45 | 0.332190 | 0.299636 | 0.323259 | 0.757419 | 0.666058 | 0.646259
46 | 0.808067 | 0.750593 | 0.430157 | 0.863855 | 0.859024 | 0.616713
47 | 0.228748 | 0.238605 | 0.174960 | 0.560493 | 0.443924 | 0.517109
48 | 0.241562 | 0.439338 | 0.377245 | 0.646704 | 0.490140 | 0.519582
49 | 0.332190 | 0.494511 | 0.297469 | 0.757419 | 0.778630 | 0.634697
50 | 0.604034 | 0.270207 | 0.391764 | 0.752500 | 0.451708 | 0.505213
51 | 0.298801 | 0.389388 | 0.493845 | 0.810854 | 0.701832 | 0.823040
52 | 0.297588 | 0.266263 | 0.253278 | 0.641358 | 0.671101 | 0.691785
53 | 0.298801 | 0.443303 | 0.535270 | 0.810854 | 0.733380 | 0.890881
54 | 0.536923 | 0.485073 | 0.619371 | 0.849654 | 0.791017 | 0.775131
55 | 0.316020 | 0.145970 | 0.223365 | 0.721102 | 0.665816 | 0.623459
56 | 0.871168 | 0.192529 | 0.697114 | 0.638722 | 0.765706 | 0.372232
57 | 0.391364 | 0.698832 | 0.435605 | 0.913361 | 0.827600 | 0.808190
58 | 0.575502 | 0.543145 | 0.723702 | 0.758393 | 0.734245 | 0.673984
59 | 0.286387 | 0.239030 | 0.163961 | 0.699850 | 0.844922 | 0.681236
60 | 0.234492 | 0.194747 | 0.194452 | 0.498486 | 0.569317 | 0.558385
61 | 0.283609 | 0.502018 | 0.154552 | 0.463524 | 0.640625 | 0.343618
62 | 0.296914 | 0.423173 | 0.216521 | 0.622387 | 0.642850 | 0.334071
63 | 0.148544 | 0.096456 | 0.280444 | 0.689293 | 0.708377 | 0.654665
64 | 0.290581 | 0.301981 | 0.337655 | 0.272624 | 0.188904 | 0.313559
65 | 0.647939 | 0.563938 | 0.651646 | 0.819780 | 0.803887 | 0.430035
66 | 0.166183 | 0.535145 | 0.609495 | 0.666012 | 0.729829 | 0.668652
67 | 0.748972 | 0.179628 | 0.239202 | 0.718966 | 0.198296 | 0.351956
68 | 0.158454 | 0.112627 | 0.139657 | 0.659852 | 0.686821 | 0.654187
69 | 0.210703 | 0.245750 | 0.218492 | 0.672537 | 0.712973 | 0.666832
70 | 0.567104 | 0.295090 | 0.508388 | 0.958595 | 0.652622 | 0.639525
71 | 0.869019 | 0.750593 | 0.495896 | 0.962231 | 0.859024 | 0.716881
72 | 0.860623 | 0.572413 | 0.674120 | 0.781192 | 0.764392 | 0.716620
73 | 0.476837 | 0.513896 | 0.591277 | 0.714631 | 0.673348 | 0.672070
74 | 0.611075 | 0.628679 | 0.646993 | 0.703327 | 0.660171 | 0.671608
75 | 0.423961 | 0.681625 | 0.587469 | 0.790202 | 0.604394 | 0.688020
76 | 0.423961 | 0.504208 | 0.416161 | 0.790202 | 0.675689 | 0.677803
77 | 0.286101 | 0.599514 | 0.301713 | 0.628372 | 0.867571 | 0.637866
78 | 0.332749 | 0.269384 | 0.323134 | 0.567366 | 0.552242 | 0.457426
79 | 0.261411 | 0.489877 | 0.456844 | 0.376386 | 0.300205 | 0.176676
80 | 0.857043 | 0.541641 | 0.200434 | 0.781467 | 0.777176 | 0.761681
81 | 0.494511 | 0.438057 | 0.500047 | 0.778630 | 0.792116 | 0.716584
82 | 0.808067 | 0.869019 | 0.496283 | 0.863855 | 0.962231 | 0.608671
83 | 0.510491 | 0.290060 | 0.355161 | 0.651029 | 0.739294 | 0.705704
84 | 0.412115 | 0.379934 | 0.521816 | 0.712742 | 0.710328 | 0.665788
85 | 0.579928 | 0.871168 | 0.481766 | 0.825786 | 0.638722 | 0.697672
86 | 0.537238 | 0.642548 | 0.305208 | 0.903113 | 0.951934 | 0.935840
87 | 0.606106 | 0.606106 | 0.606106 | 0.935542 | 0.967541 | 0.930169
88 | 0.209384 | 0.521692 | 0.308188 | 0.636579 | 0.647863 | 0.616868
89 | 0.445585 | 0.674356 | 0.505218 | 0.607349 | 0.700580 | 0.607082
90 | 0.500208 | 0.289817 | 0.543405 | 0.634101 | 0.573222 | 0.629203
91 | 0.435190 | 0.246904 | 0.386125 | 0.775955 | 0.713595 | 0.678913
92 | 0.320812 | 0.318239 | 0.319198 | 0.830784 | 0.863099 | 0.725812
93 | 0.784291 | 0.320812 | 0.486634 | 0.808600 | 0.830784 | 0.753618
94 | 0.443303 | 0.389388 | 0.430278 | 0.733380 | 0.701832 | 0.798640
95 | 0.596552 | 0.523207 | 0.517887 | 0.854966 | 0.754404 | 0.850218
96 | 0.305312 | 0.172320 | 0.475328 | 0.324694 | 0.345335 | 0.340266
97 | 0.622123 | 0.221298 | 0.487161 | 0.743334 | 0.764573 | 0.965425
98 | 0.659178 | 0.579185 | 0.292556 | 0.898047 | 0.866256 | 0.803531
99 | 0.705315 | 0.648886 | 0.917190 | 0.766754 | 0.765813 | 0.904781
100 | 0.218507 | 0.293343 | 0.247589 | 0.507765 | 0.668301 | 0.624063
101 | 0.629201 | 0.621477 | 0.362546 | 0.713211 | 0.576362 | 0.713284
102 | 0.784291 | 0.318239 | 0.569082 | 0.808600 | 0.863099 | 0.648973
103 | 0.429825 | 0.322452 | 0.437532 | 0.743224 | 0.688190 | 0.751970
104 | 0.124580 | 0.275570 | 0.150291 | 0.677059 | 0.727944 | 0.614232
105 | 0.309252 | 0.440261 | 0.250485 | 0.690829 | 0.674948 | 0.666245
106 | 0.714455 | 0.878881 | 0.830098 | 0.885681 | 0.911965 | 0.784677
107 | 0.389403 | 0.389403 | 0.389403 | 0.850063 | 0.827239 | 0.840532
108 | 0.600240 | 0.658570 | 0.596470 | 0.985982 | 0.932671 | 0.920625
109 | 0.286350 | 0.516938 | 0.504068 | 0.603731 | 0.508608 | 0.563062
110 | 0.185169 | 0.324995 | 0.366736 | 0.504228 | 0.600929 | 0.534702
