itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 5606 | 861 | 6847 | 96 | 115 | 112 | 0.183369 | 0.211318 | 0.207353 | 0.235849 | 0.138056 | 0.221478
1 | 6886 | 5190 | 3767 | 58 | 482 | 543 | 0.200122 | 0.194173 | 0.177436 | 0.385769 | 0.181833 | 0.327753
2 | 75 | 377 | 214 | 91 | 89 | 46 | 0.316808 | 0.341901 | 0.285151 | 0.160924 | 0.367660 | 0.281857
3 | 2341 | 6007 | 2579 | 114 | 112 | 30 | 0.126058 | 0.510121 | 0.283007 | 0.008701 | 0.199394 | 0.440428
4 | 1928 | 1323 | 1431 | 471 | 53 | 2539 | 0.596430 | 0.607177 | 0.284051 | 0.245585 | 0.875801 | 0.304786
5 | 405 | 2251 | 946 | 160 | 188 | 265 | 0.349837 | 0.288178 | 0.621159 | 0.398889 | 0.331346 | 0.521670
6 | 181 | 40 | 295 | 67 | 32 | 66 | 0.100008 | 0.145591 | 0.144769 | 0.353068 | 0.486771 | 0.432384
7 | 482 | 333 | 3493 | 418 | 522 | 200 | 0.277706 | 0.328358 | 0.157748 | 0.628293 | 0.663476 | 0.204108
8 | 21 | 280 | 238 | 120 | 57 | 189 | 0.265563 | 0.102280 | 0.198114 | 0.378987 | 0.338686 | 0.269420
9 | 336 | 42 | 459 | 309 | 433 | 411 | 0.288098 | 0.453090 | 0.314696 | 0.330106 | 0.337261 | 0.243607
10 | 79 | 187 | 147 | 1218 | 1372 | 817 | 0.498153 | 0.331779 | 0.311285 | 0.139510 | 0.344844 | 0.302323
11 | 1773 | 3443 | 1892 | 134 | 123 | 132 | 0.206991 | 0.405211 | 0.236622 | 0.226691 | 0.512084 | 0.776100
12 | 366 | 175 | 251 | 123 | 94 | 139 | 0.196780 | 0.276836 | 0.269721 | 0.284345 | 0.441201 | 0.313347
13 | 883 | 3844 | 69 | 321 | 444 | 485 | 0.560839 | 0.498242 | 0.302890 | 0.644829 | 0.683282 | 0.700619
