itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 5403 | 1 | 6166 | 119 | 472 | 647 | 0.471648 | 0.360385 | 0.324646 | 0.320433 | 0.847137 | 0.292876
1 | 6886 | 3248 | 3246 | 58 | 209 | 246 | 0.200122 | 0.342395 | 0.311179 | 0.385769 | 0.434524 | 0.448921
2 | 170 | 199 | 338 | 87 | 50 | 50 | 0.297602 | 0.337815 | 0.373074 | 0.559022 | 0.522705 | 0.392050
3 | 2600 | 5181 | 1656 | 231 | 74 | 46 | 0.455012 | 0.108431 | 0.281501 | 0.325787 | 0.372612 | 0.339765
4 | 1323 | 1739 | 3182 | 53 | 822 | 1398 | 0.607177 | 0.489218 | 0.341866 | 0.875801 | 0.568189 | 0.487063
5 | 946 | 3901 | 2777 | 265 | 149 | 114 | 0.621159 | 0.237327 | 0.469784 | 0.521670 | 0.289439 | 0.412418
6 | 9 | 40 | 21 | 469 | 32 | 120 | 0.145320 | 0.145591 | 0.200715 | 0.405598 | 0.486771 | 0.398049
7 | 482 | 3437 | 4338 | 418 | 121 | 96 | 0.277706 | 0.370552 | 0.259192 | 0.628293 | 0.470783 | 0.215231
8 | 96 | 339 | 294 | 109 | 41 | 126 | 0.506885 | 0.174793 | 0.144178 | 0.634674 | 0.403343 | 0.341294
9 | 341 | 117 | 102 | 244 | 116 | 151 | 0.462604 | 0.444624 | 0.141625 | 0.582207 | 0.257215 | 0.392455
10 | 2205 | 187 | 56 | 35 | 1372 | 199 | 0.194290 | 0.331779 | 0.691689 | 0.323598 | 0.344844 | 0.561397
11 | 985 | 6798 | 2139 | 129 | 265 | 193 | 0.190063 | 0.356857 | 0.590949 | 0.363136 | 0.419322 | 0.581639
12 | 74 | 58 | 76 | 174 | 77 | 428 | 0.453580 | 0.453593 | 0.424592 | 0.326238 | 0.347390 | 0.324203
13 | 6651 | 3941 | 883 | 45 | 56 | 321 | 0.370369 | 0.349835 | 0.560839 | 0.701120 | 0.574454 | 0.644829
14 | 3844 | 69 | 2298 | 444 | 485 | 524 | 0.326957 | 0.386023 | 0.285696 | 0.634973 | 0.841371 | 0.547357
15 | 514 | 1194 | 14 | 88 | 107 | 481 | 0.405206 | 0.648584 | 0.267173 | 0.764564 | 0.171814 | 0.414780
16 | 1392 | 4900 | 540 | 304 | 718 | 60 | 0.454257 | 0.183586 | 0.441940 | 0.421769 | 0.788961 | 0.569945
17 | 311 | 252 | 223 | 173 | 75 | 166 | 0.109793 | 0.192542 | 0.363726 | 0.457683 | 0.332922 | 0.324222
18 | 1150 | 6239 | 4297 | 288 | 48 | 883 | 0.188112 | 0.177058 | 0.109858 | 0.416538 | 0.105170 | 0.731871
19 | 3558 | 6001 | 6929 | 202 | 68 | 63 | 0.483605 | 0.306067 | 0.290507 | 0.356993 | 0.669029 | 0.355111
20 | 239 | 1155 | 3080 | 159 | 100 | 43 | 0.467224 | 0.354092 | 0.386715 | 0.753481 | 0.362014 | 0.370654
21 | 9 | 102 | 299 | 469 | 151 | 137 | 0.235922 | 0.309753 | 0.455911 | 0.470648 | 0.419845 | 0.659436
22 | 9 | 341 | 21 | 469 | 244 | 120 | 0.373964 | 0.235848 | 0.416576 | 0.385204 | 0.406478 | 0.757603
23 | 305 | 205 | 299 | 246 | 50 | 137 | 0.305674 | 0.218001 | 0.242212 | 0.572743 | 0.420309 | 0.141522
24 | 1431 | 1373 | 836 | 2539 | 157 | 1452 | 0.308663 | 0.293158 | 0.210776 | 0.398033 | 0.783852 | 0.765610
25 | 411 | 802 | 1746 | 132 | 147 | 237 | 0.657151 | 0.698785 | 0.369947 | 0.524872 | 0.657488 | 0.602983
26 | 1571 | 2233 | 4100 | 50 | 75 | 625 | 0.173508 | 0.204858 | 0.532247 | 0.418078 | 0.443643 | 0.425366
27 | 299 | 185 | 288 | 137 | 353 | 137 | 0.143988 | 0.069585 | 0.154887 | 0.320381 | 0.218242 | 0.419825
28 | 1876 | 1539 | 721 | 67 | 53 | 123 | 0.119947 | 0.101745 | 0.202888 | 0.143571 | 0.152590 | 0.436551
29 | 211 | 230 | 102 | 56 | 64 | 151 | 0.579770 | 0.249805 | 0.315917 | 0.488331 | 0.270781 | 0.445748
30 | 4396 | 1260 | 5193 | 155 | 497 | 25 | 0.434602 | 0.245782 | 0.535604 | 0.591054 | 0.353691 | 0.662860
