itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 1 | 1321 | 4800 | 472 | 105 | 158 | 0.360385 | 0.390640 | 0.198802 | 0.847137 | 0.520882 | 0.166358
1 | 0 | 1321 | 6119 | 120 | 105 | 102 | 0.360385 | 0.269690 | 0.451806 | 0.847137 | 0.543942 | 0.381901
2 | 170 | 1023 | 417 | 87 | 33 | 68 | 0.297602 | 0.283692 | 0.353944 | 0.559022 | 0.454638 | 0.464675
3 | 5097 | 1656 | 5132 | 68 | 46 | 62 | 0.437468 | 0.281501 | 0.256294 | 0.346896 | 0.339765 | 0.578934
4 | 1323 | 768 | 1751 | 53 | 86 | 660 | 0.607177 | 0.336378 | 0.401382 | 0.875801 | 0.614198 | 0.612082
5 | 946 | 551 | 2566 | 265 | 120 | 179 | 0.621159 | 0.314969 | 0.442611 | 0.521670 | 0.653304 | 0.464164
6 | 181 | 61 | 58 | 67 | 94 | 77 | 0.100008 | 0.385081 | 0.120200 | 0.353068 | 0.534670 | 0.340993
7 | 2178 | 2179 | 482 | 171 | 89 | 418 | 0.328785 | 0.365245 | 0.277706 | 0.859896 | 0.886097 | 0.628293
8 | 339 | 75 | 58 | 41 | 91 | 77 | 0.174793 | 0.216660 | 0.165936 | 0.403343 | 0.092601 | 0.155428
9 | 102 | 238 | 175 | 151 | 189 | 94 | 0.141625 | 0.384411 | 0.211849 | 0.392455 | 0.303448 | 0.481111
10 | 3154 | 56 | 85 | 118 | 199 | 87 | 0.205600 | 0.691689 | 0.731891 | 0.884296 | 0.561397 | 0.583567
11 | 1892 | 1930 | 3154 | 132 | 405 | 118 | 0.236622 | 0.268683 | 0.165784 | 0.776100 | 0.668650 | 0.651024
12 | 58 | 74 | 43 | 77 | 174 | 173 | 0.453593 | 0.453580 | 0.302403 | 0.347390 | 0.326238 | 0.346099
13 | 885 | 3683 | 6651 | 158 | 83 | 45 | 0.615703 | 0.635537 | 0.370369 | 0.699661 | 0.618279 | 0.701120
14 | 3844 | 3683 | 6136 | 444 | 83 | 83 | 0.326957 | 0.241502 | 0.213595 | 0.634973 | 0.626542 | 0.673483
15 | 514 | 1194 | 5264 | 88 | 107 | 116 | 0.405206 | 0.648584 | 0.164100 | 0.764564 | 0.171814 | 0.613688
16 | 4900 | 5245 | 515 | 718 | 67 | 811 | 0.183586 | 0.300837 | 0.669854 | 0.788961 | 0.770489 | 0.393379
17 | 230 | 376 | 117 | 64 | 106 | 116 | 0.403560 | 0.208115 | 0.393611 | 0.169455 | 0.320692 | 0.248721
18 | 4240 | 4297 | 4238 | 137 | 883 | 170 | 0.311785 | 0.109858 | 0.274693 | 0.696656 | 0.731871 | 0.695678
19 | 1632 | 4912 | 3695 | 746 | 79 | 122 | 0.536219 | 0.497338 | 0.373609 | 0.768245 | 0.682466 | 0.702434
20 | 239 | 2327 | 2754 | 159 | 117 | 61 | 0.467224 | 0.263326 | 0.438923 | 0.753481 | 0.597858 | 0.635466
21 | 102 | 175 | 238 | 151 | 94 | 189 | 0.309753 | 0.209416 | 0.210294 | 0.419845 | 0.496359 | 0.338711
22 | 21 | 102 | 295 | 120 | 151 | 66 | 0.416576 | 0.331119 | 0.431057 | 0.757603 | 0.433506 | 0.475847
