itemID | top1 itemID | top2 itemID | top3 itemID | top1 2-hop items | top2 2-hop items | top3 2-hop items | top1 vision sim | top2 vision sim | top3 vision sim | top1 text sim | top2 text sim | top3 text sim
0 | 4043 | 6991 | 3726 | 286 | 34 | 105 | 0.391298 | 0.513578 | 0.541623 | 0.320763 | 0.285752 | 0.205247
1 | 7013 | 6836 | 516 | 159 | 83 | 404 | 0.264853 | 0.301678 | 0.203506 | 0.484924 | 0.499009 | 0.155298
2 | 338 | 349 | 1389 | 50 | 59 | 62 | 0.373074 | 0.380966 | 0.535661 | 0.392050 | 0.388598 | 0.431871
3 | 1203 | 5736 | 4585 | 213 | 39 | 135 | 0.483019 | 0.164113 | 0.317522 | 0.309318 | 0.424222 | 0.233792
4 | 2474 | 1598 | 3579 | 59 | 210 | 268 | 0.263459 | 0.409242 | 0.559569 | 0.208848 | 0.423729 | 0.219442
5 | 1526 | 1188 | 946 | 66 | 123 | 265 | 0.343952 | 0.676101 | 0.621159 | 0.311086 | 0.607273 | 0.521670
6 | 40 | 222 | 160 | 32 | 64 | 113 | 0.145591 | 0.263093 | 0.152997 | 0.486771 | 0.327701 | 0.296468
7 | 4242 | 4270 | 1617 | 48 | 28 | 394 | 0.781597 | 0.805255 | 0.758371 | 0.547662 | 0.565178 | 0.543670
8 | 96 | 276 | 212 | 109 | 66 | 71 | 0.506885 | 0.526539 | 0.352295 | 0.634674 | 0.493342 | 0.308022
9 | 428 | 76 | 12 | 272 | 428 | 62 | 0.215054 | 0.371824 | 0.556617 | 0.284745 | 0.346398 | 0.604754
10 | 938 | 185 | 3753 | 3289 | 353 | 218 | 0.187722 | 0.223436 | 0.415915 | 0.171352 | 0.255207 | 0.417446
11 | 159 | 780 | 1266 | 54 | 77 | 39 | 0.197451 | 0.571314 | 0.383656 | 0.363174 | 0.584567 | 0.364765
12 | 9 | 170 | 80 | 469 | 87 | 113 | 0.556617 | 0.171444 | 0.464170 | 0.604754 | 0.290289 | 0.441928
13 | 6136 | 6651 | 885 | 83 | 45 | 158 | 0.500512 | 0.370369 | 0.615703 | 0.698262 | 0.701120 | 0.699661
14 | 2298 | 3844 | 5637 | 524 | 444 | 1116 | 0.285696 | 0.326957 | 0.370024 | 0.547357 | 0.634973 | 0.331269
15 | 4859 | 1194 | 2076 | 109 | 107 | 61 | 0.529113 | 0.648584 | 0.558426 | 0.187240 | 0.171814 | 0.232968
16 | 540 | 724 | 591 | 60 | 155 | 193 | 0.441940 | 0.215173 | 0.300007 | 0.569945 | 0.226334 | 0.414674
17 | 3264 | 2777 | 179 | 46 | 114 | 25 | 0.329430 | 0.434071 | 0.388397 | 0.025591 | 0.230737 | 0.263903
18 | 5632 | 4764 | 5675 | 66 | 116 | 53 | 0.602602 | 0.657974 | 0.573097 | 0.218666 | 0.233290 | 0.199414
19 | 239 | 5219 | 5277 | 159 | 314 | 263 | 0.731820 | 0.534655 | 0.549172 | 0.414591 | 0.334949 | 0.314150
20 | 3149 | 5433 | 1699 | 28 | 93 | 116 | 0.542532 | 0.206468 | 0.523930 | 0.277994 | 0.182060 | 0.208425
