user_id,recall@20,ndcg@20,mean_score,pos_degree,total_interactions,score_bin
7439,1.0,1.0,1.0,5,5,one
12532,1.0,1.0,1.0,14,14,one
18154,1.0,1.0,1.0,12,12,one
182,1.0,1.0,1.0,10,10,one
17436,1.0,1.0,1.0,7,7,one
4052,1.0,1.0,1.0,5,5,one
17985,1.0,1.0,1.0,6,6,one
12630,1.0,1.0,1.0,8,8,one
12529,1.0,1.0,1.0,5,5,one
189,1.0,1.0,1.0,6,6,one
14558,1.0,1.0,1.0,8,8,one
191,1.0,1.0,1.0,5,5,one
993,1.0,1.0,1.0,6,6,one
5144,1.0,1.0,1.0,6,6,one
16943,1.0,1.0,1.0,5,5,one
17511,1.0,1.0,1.0,6,6,one
16647,1.0,1.0,1.0,5,5,one
5096,1.0,1.0,1.0,5,5,one
5626,1.0,1.0,1.0,11,11,one
18146,1.0,1.0,1.0,6,6,one
1975,1.0,1.0,1.0,10,10,one
205,1.0,1.0,1.0,8,8,one
207,1.0,1.0,1.0,5,5,one
13140,1.0,1.0,1.0,5,5,one
16187,1.0,1.0,1.0,8,8,one
1534,1.0,1.0,1.0,6,6,one
212,1.0,1.0,1.0,7,7,one
18090,1.0,1.0,1.0,6,6,one
4115,1.0,1.0,1.0,6,6,one
215,1.0,1.0,1.0,5,5,one
8868,1.0,1.0,1.0,7,7,one
10190,1.0,1.0,1.0,5,5,one
19020,1.0,1.0,1.0,8,8,one
13151,1.0,1.0,1.0,9,9,one
6858,1.0,1.0,1.0,12,12,one
175,1.0,1.0,1.0,6,6,one
2509,1.0,1.0,1.0,7,7,one
961,1.0,1.0,1.0,10,10,one
15506,1.0,1.0,1.0,5,5,one
6161,1.0,1.0,1.0,7,7,one
19025,1.0,1.0,1.0,5,5,one
8919,1.0,1.0,1.0,5,5,one
7460,1.0,1.0,1.0,7,7,one
17914,1.0,1.0,1.0,5,5,one
152,1.0,1.0,1.0,5,5,one
1504,1.0,1.0,1.0,7,7,one
8138,1.0,1.0,1.0,8,8,one
4413,1.0,1.0,1.0,12,12,one
157,1.0,1.0,1.0,10,10,one
5470,1.0,1.0,1.0,5,5,one
17071,1.0,1.0,1.0,12,12,one
18951,1.0,1.0,1.0,8,8,one
161,1.0,1.0,1.0,6,6,one
18163,1.0,1.0,1.0,5,5,one
7808,1.0,1.0,1.0,5,5,one
18953,1.0,1.0,1.0,7,7,one
6173,1.0,1.0,1.0,11,11,one
18161,1.0,1.0,1.0,7,7,one
10960,1.0,1.0,1.0,12,12,one
3076,1.0,1.0,1.0,5,5,one
15583,1.0,1.0,1.0,5,5,one
3945,1.0,1.0,1.0,11,11,one
3687,1.0,1.0,1.0,5,5,one
7422,1.0,1.0,1.0,7,7,one
10968,1.0,1.0,1.0,9,9,one
17512,1.0,1.0,1.0,5,5,one
3247,1.0,1.0,1.0,5,5,one
2826,1.0,1.0,1.0,7,7,one
796,1.0,1.0,1.0,5,5,one
9766,1.0,1.0,1.0,7,7,one
16535,1.0,1.0,1.0,12,12,one
16534,1.0,1.0,1.0,5,5,one
312,1.0,1.0,1.0,6,6,one
8884,1.0,1.0,1.0,6,6,one
3755,1.0,1.0,1.0,5,5,one
4522,1.0,1.0,1.0,14,14,one
17406,1.0,1.0,1.0,5,5,one
5201,1.0,1.0,1.0,5,5,one
15906,1.0,1.0,1.0,6,6,one
7010,1.0,1.0,1.0,8,8,one
7223,1.0,1.0,1.0,5,5,one
15909,1.0,1.0,1.0,8,8,one
19218,1.0,1.0,1.0,5,5,one
15278,1.0,1.0,1.0,8,8,one
283,1.0,1.0,1.0,8,8,one
16835,1.0,1.0,1.0,5,5,one
15687,1.0,1.0,1.0,6,6,one
18553,1.0,1.0,1.0,5,5,one
14046,1.0,1.0,1.0,5,5,one
288,1.0,1.0,1.0,6,6,one
7412,1.0,1.0,1.0,6,6,one
10520,1.0,1.0,1.0,6,6,one
4481,1.0,1.0,1.0,6,6,one
17880,1.0,1.0,1.0,6,6,one
303,1.0,1.0,1.0,8,8,one
302,1.0,1.0,1.0,5,5,one
14795,1.0,1.0,1.0,8,8,one
18768,1.0,1.0,1.0,6,6,one
8969,1.0,1.0,1.0,11,11,one
12661,1.0,1.0,1.0,5,5,one
224,1.0,1.0,1.0,7,7,one
9545,1.0,1.0,1.0,9,9,one
7793,1.0,1.0,1.0,6,6,one
9523,1.0,1.0,1.0,5,5,one
8557,1.0,1.0,1.0,5,5,one
2837,1.0,1.0,1.0,11,11,one
11766,1.0,1.0,1.0,5,5,one
4664,1.0,1.0,1.0,8,8,one
7471,1.0,1.0,1.0,8,8,one
19178,1.0,1.0,1.0,5,5,one
8156,1.0,1.0,1.0,8,8,one
9940,1.0,1.0,1.0,11,11,one
3827,1.0,1.0,1.0,10,10,one
18758,1.0,1.0,1.0,5,5,one
4329,1.0,1.0,1.0,14,14,one
2846,1.0,1.0,1.0,6,6,one
7357,1.0,1.0,1.0,11,11,one
10124,1.0,1.0,1.0,7,7,one
245,1.0,1.0,1.0,5,5,one
10171,1.0,1.0,1.0,7,7,one
14508,1.0,1.0,1.0,7,7,one
11915,1.0,1.0,1.0,5,5,one
250,1.0,1.0,1.0,5,5,one
252,1.0,1.0,1.0,5,5,one
8167,1.0,1.0,1.0,8,8,one
7492,1.0,1.0,1.0,10,10,one
17415,1.0,1.0,1.0,5,5,one
15684,1.0,1.0,1.0,5,5,one
7491,1.0,1.0,1.0,5,5,one
259,1.0,1.0,1.0,5,5,one
8722,1.0,1.0,1.0,6,6,one
3508,1.0,1.0,1.0,5,5,one
297,1.0,1.0,1.0,10,10,one
9906,1.0,1.0,1.0,9,9,one
2069,1.0,1.0,1.0,5,5,one
692,1.0,1.0,1.0,8,8,one
12940,1.0,1.0,1.0,11,11,one
13826,1.0,1.0,1.0,8,8,one
3794,1.0,1.0,1.0,6,6,one
15263,1.0,1.0,1.0,5,5,one
4606,1.0,1.0,1.0,6,6,one
13007,1.0,1.0,1.0,7,7,one
9378,1.0,1.0,1.0,6,6,one
4841,1.0,1.0,1.0,6,6,one
9725,1.0,1.0,1.0,12,12,one
7450,1.0,1.0,1.0,8,8,one
17827,1.0,1.0,1.0,13,13,one
14425,1.0,1.0,1.0,5,5,one
627,1.0,1.0,1.0,13,13,one
14589,1.0,1.0,1.0,7,7,one
5444,1.0,1.0,1.0,7,7,one
10026,1.0,1.0,1.0,6,6,one
6611,1.0,1.0,1.0,5,5,one
8426,1.0,1.0,1.0,9,9,one
13095,1.0,1.0,1.0,12,12,one
2411,1.0,1.0,1.0,9,9,one
19366,1.0,1.0,1.0,5,5,one
19365,1.0,1.0,1.0,5,5,one
10906,1.0,1.0,1.0,7,7,one
8086,1.0,1.0,1.0,11,11,one
651,1.0,1.0,1.0,8,8,one
13066,1.0,1.0,1.0,9,9,one
15594,1.0,1.0,1.0,11,11,one
12778,1.0,1.0,1.0,5,5,one
10385,1.0,1.0,1.0,13,13,one
10372,1.0,1.0,1.0,9,9,one
18232,1.0,1.0,1.0,5,5,one
10749,1.0,1.0,1.0,6,6,one
6221,1.0,1.0,1.0,9,9,one
16306,1.0,1.0,1.0,6,6,one
12982,1.0,1.0,1.0,5,5,one
2077,1.0,1.0,1.0,5,5,one
16305,1.0,1.0,1.0,5,5,one
18328,1.0,1.0,1.0,7,7,one
18873,1.0,1.0,1.0,5,5,one
865,1.0,1.0,1.0,8,8,one
16087,1.0,1.0,1.0,5,5,one
18334,1.0,1.0,1.0,5,5,one
5415,1.0,1.0,1.0,13,13,one
15962,1.0,1.0,1.0,5,5,one
4693,1.0,1.0,1.0,11,11,one
18724,1.0,1.0,1.0,6,6,one
7619,1.0,1.0,1.0,5,5,one
17227,1.0,1.0,1.0,5,5,one
11425,1.0,1.0,1.0,6,6,one
59,1.0,1.0,1.0,8,8,one
6525,1.0,1.0,1.0,8,8,one
15483,1.0,1.0,1.0,5,5,one
12794,1.0,1.0,1.0,10,10,one
16629,1.0,1.0,1.0,7,7,one
10053,1.0,1.0,1.0,9,9,one
16756,1.0,1.0,1.0,6,6,one
18024,1.0,1.0,1.0,5,5,one
13330,1.0,1.0,1.0,6,6,one
5072,1.0,1.0,1.0,6,6,one
13344,1.0,1.0,1.0,5,5,one
10590,1.0,1.0,1.0,5,5,one
15034,1.0,1.0,1.0,6,6,one
13667,1.0,1.0,1.0,5,5,one
17725,1.0,1.0,1.0,6,6,one
14127,1.0,1.0,1.0,5,5,one
14823,1.0,1.0,1.0,5,5,one
6930,1.0,1.0,1.0,7,7,one
613,1.0,1.0,1.0,6,6,one
1481,1.0,1.0,1.0,5,5,one
13849,1.0,1.0,1.0,6,6,one
6811,1.0,1.0,1.0,8,8,one
6122,1.0,1.0,1.0,6,6,one
17102,1.0,1.0,1.0,8,8,one
10587,1.0,1.0,1.0,6,6,one
667,1.0,1.0,1.0,7,7,one
18892,1.0,1.0,1.0,5,5,one
18846,1.0,1.0,1.0,5,5,one
5462,1.0,1.0,1.0,7,7,one
