id_alignrec,degree_alignrec
7439,198
13095,200
19366,9
19365,6
10906,96
8086,200
13066,200
15594,200
12778,200
10385,200
10372,200
18232,64
10749,200
6221,200
16306,200
12982,82
2077,183
16305,200
18328,200
18873,141
865,200
16087,133
18334,200
5415,200
15962,179
4693,200
18724,200
7619,200
17227,50
2411,200
8426,172
59,200
6611,130
7492,200
17415,74
15684,165
7491,187
259,90
8722,191
3508,200
297,200
9906,200
2069,200
692,168
12940,200
13826,200
3794,200
15263,186
4606,200
13007,195
9378,200
4841,104
9725,200
7450,200
17827,200
14425,122
627,200
14589,200
5444,200
10026,200
11425,130
6525,200
252,99
17970,152
18656,154
19118,141
12461,200
15037,40
13331,142
11854,200
6660,200
4256,200
19353,89
4974,114
15498,155
10755,200
7566,200
18850,200
7285,77
104,200
9831,129
17188,200
11325,200
19113,88
16316,200
6504,200
8846,200
10062,83
13178,200
13738,200
12532,200
5089,173
17843,81
15483,78
3012,169
12794,200
16629,200
10053,145
16756,200
18024,38
13330,200
5072,200
13344,61
10590,63
15034,129
13667,200
17725,200
14127,172
14823,160
6930,200
613,200
1481,144
13849,200
6811,200
6122,59
17102,200
10587,168
667,200
18892,161
18846,200
5462,200
883,200
8167,200
651,200
250,93
10190,200
13151,200
6858,200
175,146
2509,200
961,200
15506,83
6161,119
19025,145
8919,145
7460,200
17914,200
152,200
1504,200
8138,200
4413,200
157,200
5470,200
17071,150
18951,70
161,200
18163,200
7808,200
18953,200
6173,200
18161,200
10960,200
3076,200
19020,194
8868,200
3945,200
215,53
18154,200
182,200
17436,200
4052,80
17985,200
12630,200
12529,200
189,85
14558,132
191,157
993,38
5144,59
16943,127
17511,200
16647,140
5096,200
5626,200
18146,166
1975,200
205,200
207,199
13140,200
16187,200
11915,200
212,200
18090,139
4115,200
15583,164
1534,196
3687,200
4481,200
303,200
302,92
14795,200
18768,139
8969,200
12661,200
224,126
9545,200
7793,200
9523,134
8557,91
2837,200
11766,81
4664,200
7471,200
8156,200
9940,200
3827,200
18758,200
4329,200
2846,118
7357,181
10124,83
245,44
10171,200
14508,115
7422,200
17880,200
19178,41
10520,200
5201,86
10968,200
7412,200
17512,118
3247,165
2826,200
796,68
9766,200
16534,66
312,200
8884,59
3755,124
4522,200
17406,110
16535,200
15906,39
14046,200
7010,200
7223,79
15909,200
19218,101
15278,107
288,162
283,200
16835,113
15687,96
18553,36
1833,200
2654,200
7635,200
18340,200
55,93
19390,44
9012,200
75,200
1450,158
15748,200
19367,24
2533,200
2691,200
2097,200
14092,200
5863,184
19363,200
3629,200
6803,156
179,148
3580,153
12463,200
15717,27
18368,74
14989,200
14986,42
11487,146
760,200
3098,17
14125,150
13032,200
17645,138
12999,200
12103,200
12116,88
16317,200
5833,193
3918,96
13900,7
2719,200
188,48
16217,111
15424,80
13035,200
7016,200
780,200
1156,194
12533,52
5658,200
14971,138
293,181
1065,94
12698,138
13119,200
13909,152
17069,200
3969,200
10492,200
12002,200
2145,171
5176,157
1099,200
1092,102
8213,44
1075,199
12000,82
11924,200
7899,99
9765,200
7487,64
15257,200
17996,160
16506,200
5689,200
17977,200
14604,82
3079,200
1019,117
10876,200
4044,65
8163,200
15916,200
14233,200
5608,200
15270,200
12619,193
841,64
9981,157
4512,144
18749,64
10976,200
3766,200
4817,93
13427,155
13096,40
11934,200
10999,200
9805,200
14621,83
3375,174
13078,200
10138,200
449,200
9703,200
7002,76
5281,200
5342,164
1844,146
7248,200
986,200
8071,76
7785,200
940,81
11567,200
6688,200
7663,79
17724,200
12751,101
15733,200
13574,114
4167,200
18399,200
6546,97
17734,109
13866,200
5103,200
3936,118
603,200
9447,200
19305,52
3523,200
7667,126
5069,200
11781,200
9678,200
16981,131
18091,20
14549,55
3357,153
19126,200
7433,200
6889,200
19162,56
14858,200
18657,175
10956,200
12995,200
12633,200
13685,200
4395,200
8263,200
5332,200
733,200
982,200
11013,200
1840,200
7208,200
14443,200
13044,200
3501,200
1128,200
3277,200
16372,200
3950,200
1565,200
7573,200
17831,200
1410,200
4993,200
6619,200
11921,200
2657,200
8840,200
289,200
1851,200
11593,200
7135,200
6928,200
8817,200
7468,200
1955,200
14593,37
1917,200
15229,139
3782,76
5589,200
415,144
10933,124
1353,138
16167,200
7255,200
17691,200
8340,178
10608,200
9676,200
1380,178
19378,200
9373,117
14020,200
7757,30
13161,200
19298,16
16241,137
3682,200
17028,200
5163,101
6348,200
9455,189
12891,200
18172,132
17739,71
3304,200
5180,200
6848,178
13164,200
4100,200
253,180
5827,200
13237,200
10916,200
13760,127
12627,135
4209,110
14562,200
19135,34
17580,200
14872,157
9638,38
5603,200
9686,200
12616,200
13987,200
5599,200
16580,200
2180,68
12233,65
12707,200
6816,95
8398,200
997,152
8319,189
4980,103
903,95
11439,152
14200,139
13560,118
888,200
1889,78
11228,180
6285,63
1902,56
8910,200
10296,200
16552,120
4057,126
8505,200
200,200
1877,200
16437,200
16133,200
11931,200
16633,177
3831,200
16329,200
5496,75
6063,191
11914,200
6703,144
18922,200
11860,200
18780,134
9733,200
859,103
17862,200
17444,163
9095,50
4429,200
7408,118
14635,80
9741,200
9466,200
9017,200
10849,200
18793,22
11932,200
14148,200
10779,200
18712,42
7423,200
12964,107
14794,200
5436,200
7438,200
14145,153
19019,200
637,200
3191,200
18803,45
7919,200
15218,200
16536,43
2696,174
10536,200
18586,200
13827,200
8162,200
7235,66
3400,197
4079,200
1089,167
5672,200
15856,42
13146,200
5719,200
11502,200
10467,105
4933,178
19358,33
5661,200
14345,109
1046,200
4883,200
13124,200
19319,187
12747,200
5204,132
13174,200
2523,200
11022,78
11019,200
14447,200
17639,149
10411,78
4903,107
15933,32
2240,200
3000,200
3211,200
4897,200
10043,200
11299,200
12586,200
1333,200
2282,200
599,200
4626,200
4091,200
19255,136
7748,121
19103,18
9004,200
13543,200
7459,200
17753,179
3784,200
10114,200
15373,200
2181,80
3318,68
201,200
10422,95
1893,200
4739,200
1910,120
2140,200
2232,141
12966,120
19397,189
6755,52
7524,200
13280,200
2175,79
15559,200
11662,21
17684,111
17009,167
16992,200
18947,113
16627,200
197,140
2149,159
805,120
14419,200
138,200
12775,200
10399,64
15563,200
3881,200
4589,81
19433,46
13534,200
9944,200
6731,200
12912,200
10568,200
7526,200
470,108
177,200
12596,200
16606,200
7773,200
12773,55
14469,200
16324,105
17568,125
7448,200
6865,200
186,150
3240,200
7472,156
15170,200
3104,35
11386,55
957,52
17373,182
5418,134
9124,37
9336,200
2406,148
4437,200
13087,200
8093,200
1401,200
9303,117
12126,200
842,127
18077,57
2658,200
13838,186
10998,194
821,152
4352,200
6528,126
18599,128
9745,78
18606,177
8556,200
1593,142
9360,200
10974,130
4049,69
7189,200
16985,114
13800,169
12462,64
17119,53
4124,200
1094,200
11174,104
5347,200
6658,200
9401,200
15917,200
12019,200
1051,200
13110,200
4936,184
4913,200
2792,156
1522,200
14775,140
11376,200
17064,86
8593,200
3033,148
18440,200
18145,45
18508,200
2504,200
3111,200
13162,133
17035,200
17070,200
2475,116
17006,200
7418,200
5638,200
3533,200
11771,200
4504,200
9856,200
9660,200
2486,200
5221,200
8751,200
5813,200
6246,200
12924,200
7104,200
5371,200
2332,200
2838,200
3621,200
9064,200
7501,200
4155,200
15785,200
5945,200
11777,200
1738,85
11776,200
681,106
11021,101
11775,200
3131,200
17203,200
284,200
12100,200
1077,139
3399,17
15599,200
5116,200
17791,47
2162,200
17494,31
10328,200
11691,197
9181,184
12147,112
18515,200
1010,188
17986,200
18093,46
2916,112
3352,200
3481,200
12061,160
12830,200
4405,200
2335,200
1714,200
1911,127
8823,200
12963,131
5624,200
8915,200
17763,200
18330,200
13549,200
8832,177
584,185
12078,90
15702,200
11976,200
6442,200
1905,81
13251,82
9819,64
17586,38
7787,200
14759,200
18074,200
17314,41
18748,200
6259,200
12949,171
16859,163
19283,152
8929,200
19267,200
1296,200
5112,200
15153,200
18001,200
8449,200
9770,200
11557,200
8269,148
15833,52
17546,147
5865,200
5260,200
15240,200
19138,72
17728,200
19022,117
10872,200
9780,183
16492,200
14879,76
9282,200
5836,200
2573,200
707,198
17000,199
1034,101
15468,39
2643,200
15944,200
12848,199
17279,195
16123,200
6884,200
