id_alignrec_anchor,degree_alignrec_anchor
9935,200
8071,76
8846,200
993,38
7016,200
10849,200
6161,119
7471,200
6930,200
6755,52
8319,189
13207,47
18328,200
55,93
7248,200
5103,200
903,95
15594,200
1380,178
5144,59
10587,168
15733,200
13164,200
7460,200
16306,200
16305,200
780,200
10062,83
16241,137
312,200
14558,132
3945,200
12000,82
4115,200
303,200
16534,66
7619,200
16647,140
11019,200
19390,44
6731,200
5415,200
59,200
13738,200
14425,122
7245,190
3076,200
15498,155
15506,83
8969,200
18334,200
15583,164
18368,74
18586,200
11781,200
4764,200
11924,200
2069,200
3755,124
10296,200
12533,52
7439,198
13035,200
14178,86
9303,117
2304,200
12747,200
19365,6
10933,124
12912,200
19366,9
10976,200
104,200
7450,200
627,200
5444,200
13985,200
12999,200
15906,39
4817,93
8832,177
6808,200
18599,128
1844,146
2837,200
12698,138
449,200
2077,183
16629,200
3870,200
4167,200
18712,42
12019,200
11271,200
15909,200
19353,89
1714,200
5945,200
18846,200
7285,77
3827,200
17436,200
415,144
12529,200
12233,65
4757,200
1019,117
4921,200
18724,200
13251,82
4079,200
14233,200
5072,200
13826,200
5626,200
3304,200
8213,44
10960,200
15263,186
17227,50
19113,88
17691,200
19162,56
1034,101
6858,200
18399,200
13667,200
18749,64
157,200
5201,86
161,200
6525,200
10372,200
11914,200
7491,187
7808,200
7412,200
1763,200
13543,200
175,146
7422,200
18873,141
17739,71
9676,200
182,200
8138,200
15687,96
5603,200
4933,178
6285,63
17512,118
18508,200
17415,74
2145,171
259,90
13427,155
11766,81
4413,200
4606,200
4974,114
18850,200
14508,115
3523,200
13320,200
9765,200
796,68
13560,118
19178,41
205,200
707,198
3766,200
17724,200
12794,200
3794,200
9733,200
19118,141
3687,200
5470,200
2559,200
17880,200
17071,150
17985,200
14525,78
19209,200
6546,97
297,200
10411,78
6953,200
288,162
12778,200
10749,200
8156,200
15037,40
17069,200
1565,200
4504,200
16506,200
12126,200
13987,200
4522,200
