user_id,pos_degree,total_interactions
0,5,5
1,6,6
2,5,5
3,6,6
4,5,5
5,5,5
6,11,11
7,5,5
8,12,12
9,15,15
10,7,7
11,7,7
12,9,9
13,5,5
14,9,9
15,18,18
16,8,8
17,5,5
18,17,17
19,18,18
20,13,13
21,11,11
22,5,5
23,32,32
24,10,10
25,12,12
26,6,6
27,13,13
28,5,5
29,12,12
30,5,5
31,8,8
32,8,8
33,14,14
34,24,24
35,20,20
36,7,7
37,6,6
38,5,5
39,21,21
40,30,30
41,42,42
42,37,37
43,6,6
44,29,29
45,47,47
46,9,9
47,39,39
48,25,25
49,10,10
50,5,5
51,5,5
52,32,32
53,7,7
54,10,10
55,5,5
56,5,5
57,14,14
58,13,13
59,8,8
60,8,8
61,14,14
62,9,9
63,8,8
64,5,5
65,7,7
66,7,7
67,12,12
68,7,7
69,11,11
70,5,5
71,7,7
72,24,24
73,16,16
74,9,9
75,6,6
76,7,7
77,10,10
78,8,8
79,6,6
80,26,26
81,10,10
82,8,8
83,6,6
84,8,8
85,7,7
86,8,8
87,7,7
88,5,5
89,7,7
90,15,15
91,6,6
92,9,9
93,7,7
94,39,39
95,70,70
96,15,15
97,12,12
98,12,12
99,5,5
100,13,13
101,20,20
102,6,6
103,8,8
104,10,10
105,5,5
106,7,7
107,18,18
108,7,7
109,18,18
110,5,5
111,5,5
112,16,16
113,15,15
114,10,10
115,11,11
116,5,5
117,8,8
118,9,9
119,14,14
120,5,5
121,6,6
122,34,34
123,7,7
124,7,7
125,7,7
126,5,5
127,7,7
128,16,16
129,10,10
130,89,89
131,6,6
132,15,15
133,19,19
134,7,7
135,5,5
136,9,9
137,17,17
138,6,6
139,5,5
140,6,6
141,9,9
142,18,18
143,5,5
144,5,5
145,6,6
146,9,9
147,7,7
148,10,10
149,10,10
150,8,8
151,18,18
152,5,5
153,6,6
154,22,22
155,6,6
156,5,5
157,10,10
158,6,6
159,5,5
160,6,6
161,6,6
162,6,6
163,5,5
164,7,7
165,6,6
166,5,5
167,10,10
168,5,5
169,8,8
170,5,5
171,10,10
172,10,10
173,7,7
174,5,5
175,6,6
176,6,6
177,8,8
178,5,5
179,5,5
180,6,6
181,7,7
182,10,10
183,5,5
184,5,5
185,6,6
186,5,5
187,5,5
188,5,5
189,6,6
190,5,5
191,5,5
192,15,15
193,6,6
194,5,5
195,5,5
196,7,7
197,7,7
198,7,7
199,7,7
200,5,5
201,6,6
202,6,6
203,5,5
204,13,13
205,8,8
206,5,5
207,5,5
208,6,6
209,7,7
210,6,6
211,6,6
212,7,7
213,17,17
214,9,9
215,5,5
216,7,7
217,9,9
218,6,6
219,73,73
220,6,6
221,6,6
222,11,11
223,6,6
224,7,7
225,10,10
226,7,7
227,9,9
228,5,5
229,6,6
230,9,9
231,7,7
232,7,7
233,5,5
234,11,11
235,5,5
236,8,8
237,6,6
238,6,6
239,7,7
240,8,8
241,8,8
242,9,9
243,9,9
244,5,5
245,5,5
246,5,5
247,8,8
248,8,8
249,10,10
250,5,5
251,5,5
252,5,5
253,5,5
254,5,5
255,17,17
256,8,8
257,6,6
258,7,7
259,5,5
260,5,5
261,13,13
262,7,7
263,29,29
264,5,5
265,5,5
266,10,10
267,5,5
268,5,5
269,11,11
270,5,5
271,11,11
272,5,5
273,10,10
274,8,8
275,6,6
276,5,5
277,9,9
278,5,5
279,5,5
280,5,5
281,20,20
282,10,10
283,8,8
284,6,6
285,5,5
286,9,9
287,8,8
288,6,6
289,15,15
290,5,5
291,7,7
292,22,22
293,6,6
294,5,5
295,6,6
296,6,6
297,10,10
298,9,9
299,7,7
300,7,7
301,5,5
302,5,5
303,8,8
304,5,5
305,5,5
306,5,5
307,8,8
308,49,49
309,5,5
310,9,9
311,11,11
312,6,6
313,16,16
314,9,9
315,19,19
316,6,6
317,11,11
318,7,7
319,8,8
320,6,6
321,17,17
322,8,8
323,5,5
324,25,25
325,8,8
326,6,6
327,7,7
328,9,9
329,7,7
330,15,15
331,5,5
332,5,5
333,12,12
334,5,5
335,5,5
336,6,6
337,6,6
338,53,53
339,6,6
340,5,5
341,8,8
342,6,6
343,36,36
344,6,6
345,26,26
346,19,19
347,5,5
348,5,5
349,5,5
350,24,24
351,56,56
352,7,7
353,14,14
354,14,14
355,7,7
356,23,23
357,6,6
358,11,11
359,9,9
360,5,5
361,7,7
362,14,14
363,9,9
364,14,14
365,24,24
366,17,17
367,7,7
368,16,16
369,14,14
370,7,7
371,5,5
372,10,10
373,18,18
374,9,9
375,12,12
376,10,10
377,14,14
378,5,5
379,5,5
380,5,5
381,12,12
382,8,8
383,5,5
384,5,5
385,11,11
386,8,8
387,13,13
388,9,9
389,5,5
390,5,5
391,9,9
392,7,7
393,6,6
394,7,7
395,7,7
396,6,6
397,5,5
398,8,8
399,6,6
