item_id,global_pop
938,780
1431,587
1046,409
3262,317
626,313
916,295
3409,282
2326,268
1105,244
3029,240
419,233
2668,229
5536,221
400,202
351,195
2241,162
5117,158
640,154
3585,151
458,151
1493,150
553,148
905,147
1062,146
1980,140
4211,132
147,130
4696,127
811,126
1700,125
879,120
3346,112
2111,108
1015,106
2591,105
42,101
4900,98
266,98
515,93
602,90
3338,90
904,90
336,87
76,85
6538,80
444,79
399,74
5073,74
4630,71
5851,67
3760,64
495,62
691,62
4566,57
2275,56
3070,56
3609,56
333,55
4538,54
5176,53
5629,53
2501,52
5948,52
1863,52
6993,51
1934,50
4184,49
4193,48
1302,48
1041,47
3547,45
4834,45
1820,44
3686,44
5469,42
31,41
1803,41
1449,40
7022,36
4588,35
6652,34
1292,34
74,34
52,34
2879,33
6000,31
6906,31
1506,31
7023,30
2656,30
5570,30
5771,29
273,29
6522,28
650,27
431,26
2314,26
946,25
3501,24
6064,23
5417,21
1536,20
6913,20
5110,20
4836,20
312,19
5947,19
34,19
5883,18
2727,17
1728,17
6091,16
4056,16
3305,16
1861,15
795,15
909,14
3297,14
4306,13
4854,13
5882,12
2,12
5794,12
5336,12
1321,11
4057,11
5395,11
7010,11
802,11
4268,11
2377,10
4555,9
6554,8
4835,8
5101,7
2502,6
729,5
5884,5
92,5
