item_id,global_pop
938,780
2459,653
1431,587
2322,447
3928,356
1886,334
829,331
1758,322
3262,317
1543,304
916,295
3409,282
2326,268
3029,240
2668,229
741,218
1754,201
351,195
2534,189
79,188
3059,187
513,184
3183,183
2241,162
674,162
5117,158
497,154
2896,154
457,144
1980,140
536,135
4211,132
3346,112
2591,105
3179,104
1755,101
1814,100
5786,98
4624,88
3382,88
4877,82
6538,80
5069,80
1711,71
4630,71
2516,69
1003,68
1880,68
1261,67
2276,67
2451,67
1854,65
3760,64
5542,64
3764,60
5411,57
1010,56
3980,55
1687,55
2030,54
2860,54
4538,54
2501,52
5511,52
6575,51
5220,49
4184,49
5023,48
4291,47
2980,46
6478,46
1820,44
1803,41
3972,39
6126,38
3920,38
5115,36
5219,34
6369,34
5515,32
2509,30
2656,30
3459,29
737,28
6447,26
946,25
5303,25
1456,24
5396,24
5729,21
5543,20
5573,20
4636,18
5930,18
1309,17
1728,17
675,17
4056,16
716,15
3144,15
3273,14
4140,13
2446,13
3563,12
6548,12
4057,11
1321,11
5951,11
5305,11
1279,10
4130,10
2377,10
5606,10
5909,8
2118,7
5504,7
5101,7
6311,7
5304,7
6227,6
5818,6
5845,6
6700,5
3102,5
5708,5
6740,5
1556,5
6743,5
5576,5
